t,S,I,R
14.79375256253952,219,111,170
14.798072205122088,219,110,171
14.826277236273308,219,109,172
14.833948837550217,218,110,172
14.880410734754602,218,109,173
14.896246309008587,217,110,173
14.914053736883764,216,111,173
14.933030742833932,215,112,173
15.042398763234946,214,113,173
15.05928281116414,213,114,173
15.085981970021436,213,113,174
15.089175076272847,212,114,174
15.125061998931098,211,115,174
15.15739845297005,210,116,174
15.15972113716745,209,117,174
15.172025337907785,209,116,175
15.178060508345796,209,115,176
15.184275615889636,208,116,176
15.215000212876893,208,115,177
15.228752428703014,208,114,178
15.256009770330444,207,115,178
15.287891398097734,206,116,178
15.377810298436906,206,115,179
15.38766663464545,205,116,179
15.471778917256138,205,115,180
15.473558039799707,204,116,180
15.484684363401266,204,115,181
15.496964656431826,204,114,182
15.498562339769379,204,113,183
15.504354585129143,203,114,183
15.505659129338817,202,115,183
15.517396272787265,201,116,183
15.557582588412457,200,117,183
15.56562486280524,199,118,183
15.571899453772293,198,119,183
15.573965496089729,198,118,184
15.581940783291524,198,117,185
15.62551985333934,197,118,185
15.674997936806824,197,117,186
15.687679763071213,197,116,187
15.694156279820993,196,117,187
15.71733964154146,196,116,188
15.787077717178411,195,117,188
15.817541012753038,195,116,189
15.821492181070637,195,115,190
15.828821618039644,195,114,191
15.836987228967116,194,115,191
15.860657186242967,194,114,192
15.869901419950432,193,115,192
15.90193364977653,193,114,193
15.995021003259492,192,115,193
16.003019771598222,192,114,194
16.004213898074067,192,113,195
16.022789605183046,192,112,196
16.02976514377145,192,111,197
16.065262945212535,192,110,198
16.07502600569958,192,109,199
16.098051161343836,191,110,199
16.20783219938238,191,109,200
16.22994222920753,191,108,201
16.236141695950938,191,107,202
16.236375572574023,190,108,202
16.246544514655238,190,107,203
16.255659180702114,190,106,204
16.35852474212638,189,107,204
16.381244977254337,189,106,205
16.38486553948887,188,107,205
16.521891975102132,187,108,205
16.577078566613583,187,107,206
16.583081576039337,186,108,206
16.602463242181095,185,109,206
16.622598243992552,185,108,207
16.69550781346392,185,107,208
16.702875965640462,184,108,208
16.716276823315816,184,107,209
16.723242712889903,183,108,209
16.72699381211081,183,107,210
16.727831489185004,183,106,211
16.73582193732661,182,107,211
16.739887876313905,181,108,211
16.77050956002787,181,107,212
16.777812524759,181,106,213
16.926388660028763,181,105,214
16.934565431930768,181,104,215
16.955604262149315,180,105,215
17.026200312711012,179,106,215
17.0360632179458,179,105,216
17.072090441742553,179,104,217
17.09387642080944,179,103,218
17.095193664822066,179,102,219
17.11837977956779,178,103,219
17.122617706442497,177,104,219
17.15242815343662,177,103,220
17.159559982401046,176,104,220
17.18719660360745,175,105,220
17.216149935096695,175,104,221
17.230284175925192,175,103,222
17.254580887709828,175,102,223
17.28996314133606,175,101,224
17.32250087927672,174,102,224
17.32519482651896,174,101,225
17.326349256817455,174,100,226
17.329610722574607,173,101,226
17.361854015484226,173,100,227
17.40637060112333,173,99,228
